question_id,survey_id,source_question_order,family,normalized_text,answer_type,base_n,unique_values,recovery_status,reuse_status,adapt_for,caveat
q_b98a28bb3dda,tally_3XVBRO,42,other,qVK848,single,38,15,unreliable,source_check,,matrix/UUID needs form schema
q_60f6b10299c4,tally_3XVBRO,43,behavior,26. Какие из перечисленных фитнес‑клубов вы посещали?,multi,200,43,verified,ready,,
q_db033ac7a0b9,tally_3XVBRO,44,other,27. Какие из перечисленных фитнес‑клубов вы считаете лучшими?,open,200,17,verified,adapt,,
q_f5a6f8e109dd,tally_3XVBRO,45,other,28. Какой фитнес‑клуб вы считаете самым доступным по цене?,single,200,15,verified,adapt,,
q_07543706be3e,tally_3XVBRO,46,other,"29. Какой фитнес‑клуб, на ваш взгляд, предлагает самый широкий выбор оборудования и тренажеров?",open,200,17,verified,adapt,,
q_ae0fea419315,tally_3XVBRO,47,other,"30. Какой фитнес‑клуб, на ваш взгляд, предлагает самое разнообразное количество зон и типов тренировок?",single,200,12,verified,adapt,,
q_37f750e806e4,tally_3XVBRO,48,other,31. У какого фитнес‑клуба лучший уровень сервиса?,open,200,16,verified,adapt,,
q_c5517bc1d805,tally_3XVBRO,49,demographics,32. Какой фитнес‑клуб вам кажется самым удобным по расположению или сети филиалов?,single,200,11,verified,adapt,,
q_5bccd7c2a16c,tally_3XVBRO,50,other,"33. Какой фитнес‑клуб, на ваш взгляд, предлагает самое гибкое расписание?",single,200,8,verified,adapt,,
q_8995efcd2add,tally_3XVBRO,51,other,"34. Какой фитнес‑клуб, по вашему мнению, лидирует по современному оборудованию, инновационным тренировкам и цифровым решениям?",open,200,19,verified,adapt,,
q_678c8aae75fa,tally_3XVBRO,52,demographics,35. Какой процент своего дохода вы тратите на занятия спортом (в месяц)?,single,200,6,verified,adapt,,
q_8e824de0094d,tally_3XVBRO,53,other,36. Какой формат оплаты вам удобнее?,single,200,5,verified,adapt,,
q_99856f341e7e,tally_3XVBRO,54,other,37. Почему Вам удобен именно этот способ оплаты?,single,200,3,verified,adapt,,
q_c75ad703d5cc,tally_3XVBRO,55,other,K1Jrpz,open,81,45,unreliable,source_check,,matrix/UUID needs form schema
q_b4e68673b6c4,tally_mJ0A4r,1,other,Номер анкеты,numeric,411,385,verified,adapt,,
q_abd55b5c1283,tally_mJ0A4r,2,demographics,1. Укажите Ваш пол,single,411,2,verified,adapt,,
q_c55ad7e941c0,tally_mJ0A4r,3,demographics,2. Укажите Ваш возраст,single,411,7,verified,adapt,,
q_5780efeb46c5,tally_mJ0A4r,4,demographics,3. Укажите Ваш род занятий,single,411,5,verified,adapt,,
q_33a35690d9ab,tally_mJ0A4r,5,demographics,"4. Укажите, пожалуйста, Ваш уровень дохода",single,411,5,verified,adapt,,
q_3c3c479da094,tally_mJ0A4r,6,demographics,5. Укажите Ваш стаж вождения,single,411,8,verified,adapt,,
q_48a2332bc74b,tally_mJ0A4r,7,demographics,6. Укажите возраст Вашего автомобиля,single,408,6,verified,adapt,,
q_fab716530e43,tally_mJ0A4r,8,WTP,"7. Укажите стоимость последней покупки авто  Если не покупали, то на какой ценовой диапазон Вы бы могли рассчитывать",single,408,7,verified,ready,,
q_af7ed09a8749,tally_mJ0A4r,9,awareness,8. Какие автосервисы Вы знаете?,multi,408,214,verified,ready,,
q_36e6694f6526,tally_mJ0A4r,10,other,L91L0p,multi,26,22,unreliable,source_check,,matrix/UUID needs form schema
q_c8be2a9d23d5,tally_mJ0A4r,11,demographics,9. Услугами каких автосервисов Вы пользовались?,multi,408,155,verified,adapt,,
q_54e86bee1bb8,tally_mJ0A4r,12,other,prxpVB,multi,28,22,unreliable,source_check,,matrix/UUID needs form schema
q_f603f8fa3b8a,tally_mJ0A4r,13,other,10. Какой автосервис Вы считаете лучшим?,single,408,11,verified,adapt,,
q_fb5e85a055f1,tally_mJ0A4r,14,other,1XPoEl,multi,29,27,unreliable,source_check,,matrix/UUID needs form schema
q_75dee7a7cf3a,tally_mJ0A4r,15,demographics,"11. Услугами каких автосервисов Вы пользовались, но перестали?",multi,408,52,verified,adapt,,
q_3face5b317a0,tally_mJ0A4r,16,other,MXKp5A,open,26,22,unreliable,source_check,,matrix/UUID needs form schema
q_00638cfdce97,tally_mJ0A4r,17,WTP,"12. Какой автосервис, на Ваш взгляд, с самыми доступными ценами?",single,408,11,verified,ready,,
q_21cf8f920bac,tally_mJ0A4r,18,other,JqKv0R,open,25,22,unreliable,source_check,,matrix/UUID needs form schema
q_5a44d693bad0,tally_mJ0A4r,19,other,"13. Какой автосервис, на Ваш взгляд, имеет самый широкий перечень услуг?",single,408,11,verified,adapt,,
q_5870452fed3b,tally_mJ0A4r,20,other,gaj644,open,30,23,unreliable,source_check,,matrix/UUID needs form schema
q_ddbbe64075c7,tally_mJ0A4r,21,other,"14. Какой автосервис, на Ваш взгляд, дает возможность самой быстрой и удобной диагностики и ремонта авто?",single,408,11,verified,adapt,,
q_5e0ea33f3a88,tally_mJ0A4r,22,other,yMZ5Dx,open,26,20,unreliable,source_check,,matrix/UUID needs form schema
q_0cde0659672f,tally_mJ0A4r,23,other,"15. У какого автосервиса, на Ваш взгляд, есть технологии/подходы к ремонту и обслуживанию авто, которые кажутся Вам уникальными/передовыми?",single,408,11,verified,adapt,,
q_1d995662cbc8,tally_mJ0A4r,24,other,XLlPqY,open,22,19,unreliable,source_check,,matrix/UUID needs form schema
q_79c6a73d1f05,tally_mJ0A4r,25,other,"16. Какой автосервис, на Ваш взгляд, имеет самых квалифицированных специалистов и экспертный подход?",single,408,11,verified,adapt,,
q_ccaf66bc60a9,tally_mJ0A4r,26,other,8qo4eP,open,24,22,unreliable,source_check,,matrix/UUID needs form schema
q_d59437f50752,tally_mJ0A4r,27,other,"17. Какой автосервис, на Ваш взгляд, предоставляет самый широкий функционал для дистанционного взаимодействия с Клиентом?",single,408,11,verified,adapt,,
q_81851f45fd8c,tally_mJ0A4r,28,other,0drRPj,open,26,21,unreliable,source_check,,matrix/UUID needs form schema
q_8e1af4ab4cb5,tally_mJ0A4r,29,factor,"18. Оцените от 1 до 5 важность факторов при выборе автосервиса, где 1 - незначимый фактор, 5 - значимый фактор",matrix,408,299,reconstructed,source_check,,matrix/UUID needs form schema
q_9a558a35ed2d,tally_mJ0A4r,30,factor,"19. Оцените важность пунктов в автосервисе, в котором Вы решили диагностировать/чинить авто.",matrix,408,335,reconstructed,source_check,,matrix/UUID needs form schema
q_bb2fae0eebb8,tally_mJ0A4r,31,factor,"20. Оцените важность пунктов в мобильном приложении автосервиса, в котором Вы решили диагностировать/чинить авто.",matrix,408,316,reconstructed,source_check,,matrix/UUID needs form schema
q_ab7eb61d10b5,tally_mJ0A4r,32,behavior,21. Как давно Вы покупали б/у автомобиль?,single,408,4,verified,ready,,
q_1c9717064492,tally_mJ0A4r,33,awareness,22. Каких дилеров Вы знаете?,multi,319,190,verified,ready,,
q_d49dcb54990a,tally_mJ0A4r,34,other,zjX5e0,single,2,2,unreliable,source_check,,matrix/UUID needs form schema
q_ec09d500cb31,tally_mJ0A4r,35,behavior,22. У каких дилеров Вы покупали/купили бы авто?,multi,319,121,verified,ready,,
q_e1f8d2d548a0,tally_mJ0A4r,36,other,5bKP2E,single,8,6,unreliable,source_check,,matrix/UUID needs form schema
q_005be353c68c,tally_mJ0A4r,37,other,"23. Какой дилер, по Вашему мнению, лучший?",single,319,13,verified,adapt,,
q_96a383b4e8fd,tally_mJ0A4r,38,other,dEqePK,single,8,7,unreliable,source_check,,matrix/UUID needs form schema
q_40a48072af31,tally_mJ0A4r,39,behavior,"24. У каких дилеров Вы покупали/планировали купить авто, но решили, что не будете покупать?",multi,319,37,verified,ready,,
q_785953caa557,tally_mJ0A4r,40,other,YPDldJ,single,1,1,unreliable,source_check,,matrix/UUID needs form schema
q_1eb7ee1d5b0d,tally_mJ0A4r,41,WTP,"25. Какой дилер, на Ваш взгляд, с самыми доступными ценами?",single,319,13,verified,ready,,
q_a9ab498d7b98,tally_mJ0A4r,42,other,DB26eZ,single,10,6,unreliable,source_check,,matrix/UUID needs form schema
q_2955214c4077,tally_mJ0A4r,43,other,"26. Какой дилер по продаже автомобилей, на Ваш взгляд, самый крупный/имеет широкий выбор?",single,319,12,verified,adapt,,
q_3fd6dc3e67e1,tally_mJ0A4r,44,other,lBDkRv,single,7,5,unreliable,source_check,,matrix/UUID needs form schema
q_558f4ac2af75,tally_mJ0A4r,45,other,"27. Какой дилер, на Ваш взгляд, дает возможность самой быстрой и удобной покупки авто?",single,319,13,verified,adapt,,
q_f7b48a276f3a,tally_mJ0A4r,46,other,RxKyLj,single,11,7,unreliable,source_check,,matrix/UUID needs form schema
q_567b2f03cc29,tally_mJ0A4r,47,other,"28. У какого дилера, на Ваш взгляд, быстрее всего появляются новые экземпляры авто?",single,319,12,verified,adapt,,
q_79f1ec9682a1,tally_mJ0A4r,48,other,oE6LOx,single,12,8,unreliable,source_check,,matrix/UUID needs form schema
q_e196b50945c6,tally_mJ0A4r,49,other,"29. Какой дилер, на Ваш взгляд, предоставляет самое лучшее обслуживание/клиентский сервис?",single,319,12,verified,adapt,,
q_778d02a4eadb,tally_mJ0A4r,50,other,G6vA0k,single,11,8,unreliable,source_check,,matrix/UUID needs form schema
q_665e3153017a,tally_mJ0A4r,51,other,"30. Какой дилер, на Ваш взгляд, дает новый (отличающийся от других) опыт покупки авто?",single,319,14,verified,adapt,,
q_3b8ca125e1c3,tally_mJ0A4r,52,other,Oa1M0g,single,16,10,unreliable,source_check,,matrix/UUID needs form schema
q_9ed5f8ec7391,tally_mJ0A4r,53,factor,"31. Оцените от 1 до 5 важность факторов в дилере при покупке авто, где 1 - незначимый фактор, 5 - значимый фактор",matrix,319,189,reconstructed,source_check,,matrix/UUID needs form schema
q_e15292c668ce,tally_mJ0A4r,54,factor,"32. Оцените важность следующих пунктов в дилере, в котором Вы решили покупать авто:",matrix,319,204,reconstructed,source_check,,matrix/UUID needs form schema
q_47563763ed92,tally_mJ0A4r,55,demographics,"33. Скажите, пожалуйста, по какой причине Вы можете попросить дополнительную скидку на автомобиль?",open,319,288,verified,adapt,,
q_340e91ba0fd9,tally_mJ0A4r,56,open,Другое (впишите свой вариант),single,20,15,verified,adapt,,
q_effe8ae1118d,tally_mJ0A4r,57,open,Другое ((впишите свой вариант),open,20,20,verified,adapt,,
q_6189135aaf1a,tally_3Ele0q,1,demographics,1. Уважите ваш пол,single,453,2,verified,adapt,,
q_1d4881ae9a6c,tally_3Ele0q,2,demographics,2. Укажите город вашего проживания,open,453,47,verified,adapt,,
q_b1af8e62f092,tally_3Ele0q,3,screening,3. Посещали ли вы когда-либо баню?,single,453,2,verified,adapt,,
q_01cc3f49a2df,tally_3Ele0q,4,scenario,4. По каким причинам вы никогда не посещали бани? Выберите все подходящие варианты,multi,2,2,verified,ready,,
q_e2245a3edfbd,tally_3Ele0q,5,other,9qgZE4,unknown,0,0,unreliable,source_check,,matrix/UUID needs form schema
q_43aa70303e0d,tally_3Ele0q,6,behavior,5. Посещаете ли вы банные комплексы и/или SPA центры?,single,451,2,verified,ready,,
q_26233f6fec11,tally_3Ele0q,7,barrier,6. По какой причине вы не посещаете банные комплексы и SPA центры? (можете выбрать несколько вариантов ответа),multi,8,7,verified,ready,,
q_a9ae94a3b469,tally_3Ele0q,8,WTP,7. Насколько часто вы посещаете банные комплексы и SPA центры? (один вариант ответа),single,443,5,verified,ready,,
q_9ff42c6435e2,tally_3Ele0q,9,other,0QGqbN,single,2,2,unreliable,source_check,,matrix/UUID needs form schema
q_b9a77ea39b10,tally_3Ele0q,10,scenario,"8. Для каких целей вы, как правило, посещаете банные комплексы и SPA центры?  (можете выбрать несколько вариантов ответа)",multi,443,84,verified,ready,,
q_78600e486933,tally_3Ele0q,11,other,5Bral6,unknown,0,0,unreliable,source_check,,matrix/UUID needs form schema
q_d24d4866d557,tally_3Ele0q,12,WTP,9. Куда вы предпочитаете ходить в банные комплексы и SPA центры?  (можете выбрать несколько вариантов ответа),multi,443,110,verified,ready,,
q_569196ae116b,tally_3Ele0q,13,other,Y5e7V5,single,2,2,unreliable,source_check,,matrix/UUID needs form schema
q_b6566745d1e7,tally_3Ele0q,14,other,10. Какой формат помещений для парения более предпочтителен для вас?  (один вариант ответа),single,451,2,verified,adapt,,
q_e5da406563bd,tally_3Ele0q,15,scenario,"11. Когда вы приезжаете в банный комплекс, вы скорее  (один вариант ответа):",single,453,3,verified,ready,,
q_67078c8d28f8,tally_3Ele0q,16,switching,12. Какое времяпрепровождение вы можете выделить как альтернативу посещения банных комплексов и SPA центров? (можете выбрать несколько вариантов ответа),multi,451,36,verified,ready,,
q_a804f6fe3696,tally_3Ele0q,17,other,13.1 Как бы вы отнеслись если бы в банно-оздоровительном комплексе были бани следующего вида?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,115,reconstructed,source_check,,matrix/UUID needs form schema
q_a1afe99446c3,tally_3Ele0q,18,other,"13.2 Давайте представим, что в банно-оздоровительном комплексе нет бань следующего вида. Как бы вы на это отреагировали?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,113,reconstructed,source_check,,matrix/UUID needs form schema
q_a614043533e7,tally_3Ele0q,19,other,14.1 Как бы вы отнеслись если бы в банно-оздоровительном комплексе были следующие форматы гастрономического обслуживания?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,165,reconstructed,source_check,,matrix/UUID needs form schema
q_bb466ee52dc5,tally_3Ele0q,20,other,"14.2 Давайте представим, что в банно-оздоровительном комплексе нет следующих форматов гастрономического обслуживания. Как бы вы на это отреагировали?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,126,reconstructed,source_check,,matrix/UUID needs form schema
q_a63bd53a07e2,tally_3Ele0q,21,factor,14.3 Насколько для вас важно наличие возможности заказывать алкогольные напитки в зоне парения или ресторанах банно-оздоровительном комплекса?  (один вариант ответа),single,451,4,verified,ready,,
q_970a644bcbd0,tally_3Ele0q,22,other,15.1 Как бы вы отнеслись если бы в банно-оздоровительном комплексе были следующие услуги?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,101,reconstructed,source_check,,matrix/UUID needs form schema
q_12c06e527c7e,tally_3Ele0q,23,other,"15.2 Давайте представим, что в банно-оздоровительном комплексе нет следующих услуг. Как бы вы на это отреагировали?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,104,reconstructed,source_check,,matrix/UUID needs form schema
q_6179cf1ea730,tally_3Ele0q,24,other,16.1 Как вы бы отнеслись если бы  в банно-оздоровительном комплексе были следующие бассейны?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,50,reconstructed,source_check,,matrix/UUID needs form schema
q_03e5c7d3b05a,tally_3Ele0q,25,other,"16.2 Давайте представим, что в банно-оздоровительном комплексе нет следующих бассейнов. Как бы вы на это отреагировали?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,52,reconstructed,source_check,,matrix/UUID needs form schema
q_4c53341447d0,tally_3Ele0q,26,channel,17.1 Как вы бы отнеслись если бы в магазинах на территории банно-оздоровительного комплекса были следующие товары?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,41,reconstructed,source_check,,matrix/UUID needs form schema
q_441eef32d561,tally_3Ele0q,27,channel,"17.2 Давайте представим, что в магазинах на территории банно-оздоровительного комплекса нет следующих товаров. Как бы вы на это отреагировали?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,43,reconstructed,source_check,,matrix/UUID needs form schema
q_efa5548552b6,tally_3Ele0q,28,other,18.1 Как вы бы отнеслись если бы в банно-оздоровительном комплексе были следующие услуги?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,136,reconstructed,source_check,,matrix/UUID needs form schema
q_1df035f8131f,tally_3Ele0q,29,other,"18.2 Давайте представим, что в банно-оздоровительном комплексе нет следующих услуг. Как бы вы на это отреагировали?  (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,116,reconstructed,source_check,,matrix/UUID needs form schema
q_0c4e46f5e5ef,tally_3Ele0q,30,other,19.1 Как вы бы отнеслись если бы на территории банно-оздоровительного комплекса были следующие мероприятия? (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,96,reconstructed,source_check,,matrix/UUID needs form schema
q_11ec4de0b9df,tally_3Ele0q,31,other,"19.2 Давайте представим, что на территории банно-оздоровительного комплекса не будет следующих мероприятий. Как бы вы на это отреагировали? (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,74,reconstructed,source_check,,matrix/UUID needs form schema
q_ad65f78805fc,tally_3Ele0q,32,other,20.1 Как вы бы отнеслись если бы при посещении банно-оздоровительного комплекса были возможности выбора банщика и/или его квалификации? (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана),matrix,451,22,reconstructed,source_check,,matrix/UUID needs form schema
q_d7c0f876eb95,tally_3Ele0q,33,other,"20.2 Давайте представим, что при посещении банно-оздоровительного комплекса нет возможности выбора банщика и/или его квалификации. Как бы вы на это отреагировали? (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,21,reconstructed,source_check,,matrix/UUID needs form schema
q_69bd45620d47,tally_3Ele0q,34,factor,"21. Оцените от 1 до 5 важность факторов выбора банно-оздоровительного комплекса, где 1 – это не значимый фактор, а 5 – самый значимый фактор (при прохождении опроса с телефона - варианты ответов лучше отображаются в горизонтальном виде экрана)",matrix,451,310,reconstructed,source_check,,matrix/UUID needs form schema
q_640534a46816,tally_3Ele0q,35,WTP,22. Сколько вы готовы заплатить за разовое посещение банно-оздоровительного комплекса за 1 человека? (около 3 часов)  (один вариант ответа),single,451,5,verified,ready,,
q_c4fcdec78418,tally_3Ele0q,36,WTP,23. Сколько вы готовы заплатить за сутки посещения банно-оздоровительного комплекса? (за компанию 4-6 человек) (один вариант ответа),single,451,5,verified,ready,,
q_a4924bed77aa,tally_3Ele0q,37,channel,24. Через какие каналы коммуникации вы узнаете информацию про банно-оздоровительные комплексы? (можете выбрать несколько вариантов ответа),multi,451,61,verified,ready,,
q_e07e25862ae9,tally_3Ele0q,38,other,kdg8O1,single,4,3,unreliable,source_check,,matrix/UUID needs form schema
q_06f2f1718123,tally_3Ele0q,39,WTP,"25. Назовите 3-5 банных комплексов и SPA центров, которые вы знаете и первыми приходят в голову?  (можете перечислить несколько вариантов через запятую)",open,443,331,verified,ready,,
q_08b50ac42b91,tally_3Ele0q,40,WTP,26. Какой банный комплекс или SPA центр вы чаще всего посещаете? (можете перечислить несколько вариантов через запятую),open,442,269,verified,ready,,
q_c949b4bd0692,tally_3Ele0q,41,WTP,27. Какой банный комплекс или SPA вам больше всего понравился? (можете перечислить несколько вариантов через запятую),open,442,156,verified,ready,,
q_8e0875990b01,tally_3Ele0q,42,barrier,"28. Какой банный комплекс или SPA посещали раньше, но перестали сейчас? (можете перечислить несколько вариантов через запятую)",open,442,143,verified,ready,,
q_a4b0aa986b44,tally_3Ele0q,43,barrier,"29. Укажите причины, по которым вы перестали их посещать?",open,442,172,verified,ready,,
q_421fc63e2312,tally_3Ele0q,44,demographics,30. Укажите ваш возраст,single,453,5,verified,adapt,,
q_61c943bf7df0,tally_3Ele0q,45,demographics,31. Укажите ваш род занятий,single,453,5,verified,adapt,,
q_f92ec462da1e,tally_3Ele0q,46,demographics,32. Семейное положение,single,453,4,verified,adapt,,
q_761bc75d91da,tally_3Ele0q,47,screening,33.  Есть ли у вас дети?,single,453,3,verified,adapt,,
q_49c1dc964169,tally_3Ele0q,48,behavior,34. Следите ли вы за своим питанием?,single,453,4,verified,ready,,
q_2d2eb683e138,tally_3Ele0q,49,frequency,35. Как часто вы занимаетесь физической активностью?,single,453,4,verified,ready,,
q_c8acb1411c49,tally_w4rGld,1,screening,Являетесь ли Вы действующим военнослужащим?,single,214,4,verified,adapt,,
q_ef2b06f2ebf8,tally_w4rGld,2,other,В каком статусе Вы служите?,single,50,2,verified,adapt,,
q_2cfa4285a44d,tally_w4rGld,3,other,Служили ли Вы раньше в армии РФ?,single,94,3,verified,adapt,,
q_61e580fb9fb9,tally_w4rGld,4,consideration,Рассматриваете ли Вы службу по контракту или находитесь в процессе рекрутинга?,single,214,2,verified,ready,,
q_d09ed4cdca5f,tally_w4rGld,5,consideration,Почему Вы рассматриваете службу по контракту?,single,182,7,verified,ready,,
q_a479cceb2f7b,tally_w4rGld,6,other,Назовите свой вариант,single,6,6,verified,adapt,,
q_60b54a84ec08,tally_w4rGld,7,other,Служили ли вы по контракту до СВО?,single,214,2,verified,adapt,,
q_3aad00b3f7d3,tally_w4rGld,8,frequency,Как часто Вы интересуетесь новостями об СВО?,single,214,3,verified,ready,,
q_b510e46e5789,tally_w4rGld,9,other,Интересуетесь ли военной тематикой?,single,214,3,verified,adapt,,
q_070bcfc84118,tally_w4rGld,10,other,Много ли среди ваших знакомых военных/контрактников?,single,214,3,verified,adapt,,
q_acdb6c8cb2af,tally_w4rGld,11,other,Служат ли они в зоне СВО?,single,193,2,verified,adapt,,
q_31ed98bf34a4,tally_w4rGld,12,other,Погиб ли кто-нибудь из?,single,172,2,verified,adapt,,
q_e29dc5be2e09,tally_w4rGld,13,awareness,Откуда Вы чаще всего слышали о контрактной службе?,single,214,5,verified,ready,,
q_905bf5f0d27c,tally_w4rGld,14,other,"Как Вы думаете, как оценили ли бы родственники/знакомые  заключение вами военного контракта?",single,214,3,verified,adapt,,
q_c39f1f920ab7,tally_w4rGld,15,other,Скажите почему и что именно не понравилось родственникам/знакомым?,open,49,41,verified,adapt,,
q_4202eedf9ece,tally_w4rGld,16,other,Скажите почему что именно понравилось родственникам/знакомым?,open,61,54,verified,adapt,,
q_9ef7fd3af4e0,tally_w4rGld,17,other,Как восприняли родственники/знакомые?,single,44,3,verified,adapt,,
q_9d3be32713cd,tally_w4rGld,18,demographics,"Рассматриваете  ли различные виды контракта(от разных министерств, регионов,чвк)?",single,214,2,verified,adapt,,
q_0ea5f7973781,tally_w4rGld,19,other,"Назовите основные условия, которые Вы учитываете при выборе",open,67,60,verified,adapt,,
q_1fe0f9805c9c,tally_w4rGld,20,other,Подробно ли Вы интересовались условиями контракта?,single,44,3,verified,adapt,,
q_2a19ff8e89c6,tally_w4rGld,21,WTP,Какие возможности Вы видите в службе по контракту?(выбрать несколько),multi,214,65,verified,ready,,
q_4c3f64299bd7,tally_w4rGld,22,factor,Оцените важность следующих факторов выбора(от 1 до 5):,multi,214,175,verified,ready,,
q_07747ffb55b0,tally_w4rGld,23,other,Как бы Вы оценили процесс рекрутинга(работу военкомата)?,single,44,3,verified,adapt,,
q_5749c981f806,tally_w4rGld,24,screening,Знаете ли Вы о возможности заключить контракт через Госуслуги?,single,214,2,verified,adapt,,
q_9386650c219a,tally_w4rGld,25,other,Какой способ подачи заявления для прохождения службы для Вас предпочтительней?,unknown,0,0,verified,adapt,,
q_8722f5202849,tally_w4rGld,26,other,"Как вы считает, достаточно ли информации в Интернете  для заключения контракта?",unknown,0,0,verified,adapt,,
q_0c03ba170528,tally_w4rGld,27,demographics,Получили ли вы все ответы на свои вопросы?,unknown,0,0,verified,adapt,,
q_e2f0baf3cef7,tally_w4rGld,28,other,Возникли ли сложности с подачей заявления на точке отбора?,single,214,3,verified,adapt,,
q_70631673860b,tally_w4rGld,29,other,Назовите сложности с которыми вы столкнулись,single,7,6,verified,adapt,,
q_0a872c2ad77b,tally_w4rGld,30,other,На месте прохождения медицинского освидетельствования возникли ли сложности?,single,214,3,verified,adapt,,
q_d849f335790e,tally_w4rGld,31,other,Назовите в чем именно была проблема прохождения медосмотра,single,3,3,verified,adapt,,
q_dbd3f32df7ba,tally_w4rGld,32,other,Были ли сложности при сдаче физических нормативов?,single,214,3,verified,adapt,,
q_a5c55e475560,tally_w4rGld,33,other,Назовите именно в чем была проблема сдачи нормативов,single,1,1,verified,adapt,,
q_3cae9fafab99,tally_w4rGld,34,WTP,Сколько примерно  времени занял весь процесс подачи заявления?(в часах),open,50,27,verified,ready,,
q_4e608510d69f,tally_w4rGld,35,factor,Оцените работу военкомата от 1 до 5,numeric,187,7,verified,ready,,
q_76dfe78c83ad,tally_w4rGld,36,other,C чем больше всего возникло сложностей при процессе рекрутинга?,open,187,98,verified,adapt,,
q_b69d922d3b60,tally_w4rGld,37,other,Хотели ли бы Вы поддерживать/ поддерживаете ли связи с бывшими сослуживцами?,single,214,4,verified,adapt,,
q_15931e53c93f,tally_w4rGld,38,other,Каково Ваше мнение о военной службе?,single,214,3,verified,adapt,,
q_f4ad83ea754d,tally_w4rGld,39,other,Как Вы воспринимаете солдат в обществе?,single,214,3,verified,adapt,,
q_3fafa0bea3e1,tally_w4rGld,40,other,"Как Вы считаете, армия способствует развитию страны?",single,214,3,verified,adapt,,
q_b3815e843b56,tally_w72GRP,1,other,aOY2lZ,single,180,3,unreliable,source_check,,matrix/UUID needs form schema
q_c2a9475c567a,tally_w72GRP,2,other,1. Где вы чаще всего покупаете хлеб?,multi,200,38,verified,adapt,,
q_082d29bf3b4b,tally_w72GRP,3,other,2. Как часто вы покупаете хлеб в пекарне при следующих сценариях?,open,200,21,verified,adapt,,
q_a293ceb04ea2,tally_w72GRP,4,other,3. Сколько вы готовы потратить на покупку хлеба?,open,200,24,verified,adapt,,
q_70cecb1ac9e3,tally_w72GRP,5,other,4. Готовы ли вы тратить время на дорогу до пекарни с лучшим ассортиментом хлебобулочных изделий?,open,200,25,verified,adapt,,
q_3c3c2fbcade1,tally_w72GRP,6,other,5. Как часто вы едите представленные виды хлеба?,open,200,23,verified,adapt,,
q_d51535ffbdce,tally_w72GRP,7,other,6. Когда вы обычно употребляете купленный хлеб следующих видов?,open,200,22,verified,adapt,,
q_00a8741084f7,tally_w72GRP,8,other,7. Что вы могли бы купить вместо хлеба?,open,200,23,verified,adapt,,
q_df862119b7ae,tally_w72GRP,9,other,WJ58Ze,open,200,24,unreliable,source_check,,matrix/UUID needs form schema
q_3b4ce6ad426b,tally_w72GRP,10,other,"8. Оцените от 1 до 5 важность факторов выбора хлеба, где 1 - это незначимый фактор, а 5 - самый значимый",open,200,19,verified,adapt,,
q_90249f7f1bb4,tally_w72GRP,11,other,9. Из каких источников информации вы узнаете про пекарни?,open,200,20,verified,adapt,,
q_4631bf77a005,tally_w72GRP,12,other,dbx9zV,open,200,20,unreliable,source_check,,matrix/UUID needs form schema
q_38b239b8ca59,tally_w72GRP,13,other,10. Какие пекарни вы знаете?,open,200,21,verified,adapt,,
q_48b2c1b54adc,tally_w72GRP,14,other,11. Какие пекарни вы посещаете?,open,200,19,verified,adapt,,
q_3657ec54cb2d,tally_w72GRP,15,other,12. Какие пекарни вы считаете лучшими?,open,200,21,verified,adapt,,
q_6aaa343c78a8,tally_w72GRP,16,other,"13. В каких пекарнях, по вашему мнению, самые доступные цены?",open,200,18,verified,adapt,,
q_10a94f7807db,tally_w72GRP,17,other,"14. Где, по вашему мнению, продается самая свежая выпечка?",single,200,4,verified,adapt,,
q_2f8f2219b426,tally_w72GRP,18,other,"15. Где, по вашему мнению, самый широкий выбор свежей выпечки?",open,200,34,verified,adapt,,
q_5daff9168cea,tally_w72GRP,19,other,"16. В какой пекарне, по вашему мнению, чаще остальных обновляется ассортимент?",open,200,37,verified,adapt,,
q_c7def0ebcdd5,tally_w72GRP,20,other,"17. В какой пекарне, по вашему мнению, самое качественное обслуживание?",open,200,36,verified,adapt,,
