pattern_id,survey_id,input_signal,slide_type,example_title,reuse_condition
sp_f6f54f0b9642,tally_nrxkLp,trust,QFD,QFD: Кому вы больше доверяете при выборе пробиотика?,Use for B2C Choice / food/FMCG when trust is decision-relevant.
sp_63cefba469de,tally_nrxkLp,behavior,behavior baseline,behavior baseline: Для кого вы чаще всего покупаете пробиотики?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_4d01cee29135,tally_mOXMkY,behavior,behavior baseline,"behavior baseline: Введите, пожалуйста, ваш номер телефона",Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_9ea8db9a5d01,tally_mOXMkY,scenario,JTBD map,JTBD map: Какую цель Вы преследовали или преследуете при обращения к косметологическим усл,Use for B2C Choice / healthcare when scenario is decision-relevant.
sp_05fb8ffd4134,tally_mOXMkY,factor,factor hierarchy,"factor hierarchy: Насколько для Вас важна проблема борьбы с проблемной кожей (акне, угревая сыпь)?",Use for B2C Choice / healthcare when factor is decision-relevant.
sp_086f936ce28c,tally_mOXMkY,factor,factor hierarchy,"factor hierarchy: Насколько для Вас важна проблема устранения последствия родов (растяжки, пигмент",Use for B2C Choice / healthcare when factor is decision-relevant.
sp_a69026ae30c1,tally_mOXMkY,frequency,behavior baseline,behavior baseline: Как часто Вы посещаете косметологические процедуры?,Use for B2C Choice / healthcare when frequency is decision-relevant.
sp_2024b73d5fca,tally_mOXMkY,WTP,price ladder,price ladder: Сколько в среднем в месяц вы тратите на косметологические процедуры?,Use for B2C Choice / healthcare when WTP is decision-relevant.
sp_e2c7bb253328,tally_mOXMkY,scenario,JTBD map,JTBD map: С какой целью вы обычно приходите на косметологические процедуры?,Use for B2C Choice / healthcare when scenario is decision-relevant.
sp_ed19b9369207,tally_mOXMkY,barrier,barrier map,"barrier map: Были ли косметологические клиники, которые вы перестали посещать?",Use for B2C Choice / healthcare when barrier is decision-relevant.
sp_b369236916ca,tally_mOXMkY,barrier,barrier map,barrier map: Почему вы перестали посещать эти клиники?,Use for B2C Choice / healthcare when barrier is decision-relevant.
sp_17d2be01ea5a,tally_mOXMkY,factor,factor hierarchy,"factor hierarchy: Какие факторы Вам важны при выборе клиники? (Оцените от 1 до 5, где 1 - неважно ",Use for B2C Choice / healthcare when factor is decision-relevant.
sp_76b427513462,tally_mOXMkY,awareness,brand funnel,"brand funnel: Слышали ли Вы о клинике ""Доктор Борменталь""?",Use for B2C Choice / healthcare when awareness is decision-relevant.
sp_317f03b83f71,tally_nrOG9R,behavior,behavior baseline,behavior baseline: 1.3 Какие клиники вы посещаете?,Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_0193bdd63230,tally_nrOG9R,frequency,behavior baseline,behavior baseline: 1.4 Как часто Вы посещаете клиники клиники?,Use for B2C Choice / healthcare when frequency is decision-relevant.
sp_dd83ecc1d08e,tally_nrOG9R,WTP,price ladder,price ladder: 1.5 Через сколько после возникновения симптомов Вы обычно обращаетесь к врачу?,Use for B2C Choice / healthcare when WTP is decision-relevant.
sp_578f085b773d,tally_nrOG9R,behavior,behavior baseline,behavior baseline: 2.2 Каких врачей в частных клиниках вы посещали в течение последнего года?,Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_4b17c055c612,tally_nrOG9R,awareness,brand funnel,brand funnel: 2.4 Какие клиники вы знаете? (Перечислить через запятую),Use for B2C Choice / healthcare when awareness is decision-relevant.
sp_859e16bef73e,tally_nrOG9R,behavior,behavior baseline,behavior baseline: 2.5 Какие клиники вы посещаете? (Перечислить через запятую),Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_4361b0f218ba,tally_nrOG9R,scenario,JTBD map,"JTBD map: 2.8 Какие переживания или страхи возникают у вас, когда вы обращаетесь в клинику",Use for B2C Choice / healthcare when scenario is decision-relevant.
sp_ca1930843605,tally_nrOG9R,behavior,behavior baseline,"behavior baseline: 3.5 Приходите ли вы на прием ко врачу после того, как пройдете курс лечения?",Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_2aa65b4f99af,tally_w2Q0b9,scenario,JTBD map,"JTBD map: 4. Что послужило мотивом, когда вы обратились за профессиональной помощью специа",Use for B2C Choice / healthcare when scenario is decision-relevant.
sp_404cb9ce7c9f,tally_w2Q0b9,barrier,barrier map,barrier map: 5. По какой причине вы чаще всего посещаете клинику?,Use for B2C Choice / healthcare when barrier is decision-relevant.
sp_6baf4357f8e3,tally_w2Q0b9,behavior,behavior baseline,behavior baseline: 6. Каким образом вы чаще всего приходите к пониманию необходимости посетить врач,Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_db2d92eb35f1,tally_w2Q0b9,scenario,JTBD map,"JTBD map: 8. Когда вы столкнулись с вопросом или проблемой со здоровьем, то в каких источн",Use for B2C Choice / healthcare when scenario is decision-relevant.
sp_2de05b67fcb1,tally_w2Q0b9,factor,factor hierarchy,factor hierarchy: 9. Считаете ли вы важным проходить комплексные программы лечения?,Use for B2C Choice / healthcare when factor is decision-relevant.
sp_284b39794600,tally_w2Q0b9,factor,factor hierarchy,"factor hierarchy: 10. Оцените от 1 до 5 важность факторов выбора клиники, где 1 – это незначимый ф",Use for B2C Choice / healthcare when factor is decision-relevant.
sp_d4e47698e70b,tally_w2Q0b9,switching,barrier map,barrier map: 11. Какие клиники вы посещаете (государственные/частные/альтернативная медицина),Use for B2C Choice / healthcare when switching is decision-relevant.
sp_2a424211e7a8,tally_w2Q0b9,barrier,barrier map,barrier map: 11.1. По какой причине вы выбираете именно частные клиники?,Use for B2C Choice / healthcare when barrier is decision-relevant.
sp_32244288eec2,tally_w2Q0b9,barrier,barrier map,barrier map: 11.2. По какой причине вы выбираете именно государственные клиники?,Use for B2C Choice / healthcare when barrier is decision-relevant.
sp_2fbc3fb58eb9,tally_w2Q0b9,scenario,JTBD map,"JTBD map: 15. Какие переживания или страхи возникают у вас, когда Вы обращаетесь в частную",Use for B2C Choice / healthcare when scenario is decision-relevant.
sp_f512485e65e3,tally_w2Q0b9,trust,QFD,QFD: 23. Какие клиники по неврологии и реабилитации имеет лучший сервис и качество об,Use for B2C Choice / healthcare when trust is decision-relevant.
sp_d0288e4518ae,tally_w2Q0b9,awareness,brand funnel,brand funnel: 26. Какие клиники по неврологии и реабилитации Вы знаете?,Use for B2C Choice / healthcare when awareness is decision-relevant.
sp_db5e0ce572eb,tally_w2Q0b9,behavior,behavior baseline,behavior baseline: 27. Какие клиники по неврологии и реабилитации Вы посещаете?,Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_327142f3d5e5,tally_3EdEXq,scenario,JTBD map,JTBD map: 1. Брали ли вы когда нибудь займ/кредит?,Use for B2C Choice / finance when scenario is decision-relevant.
sp_cc25e2560d65,tally_3EdEXq,frequency,behavior baseline,behavior baseline: Как часто вы берете займ/кредит?,Use for B2C Choice / finance when frequency is decision-relevant.
sp_244794468427,tally_3EdEXq,WTP,price ladder,price ladder: 3. На какую сумму вы брали или чаще всего берете займ/кредит ?,Use for B2C Choice / finance when WTP is decision-relevant.
sp_7868d3d2d60d,tally_3EdEXq,scenario,JTBD map,JTBD map: 4. Для каких целей вам требовались заемные средства?,Use for B2C Choice / finance when scenario is decision-relevant.
sp_239d3aa6fdab,tally_3EdEXq,behavior,behavior baseline,behavior baseline: 6. Как много кредитов/займов вы оформляли одновременно?,Use for B2C Choice / finance when behavior is decision-relevant.
sp_e168888b6199,tally_3EdEXq,scenario,JTBD map,"JTBD map: 8. Если да, то возникали ли ситуации, когда по какой-то причине вы не могли сдел",Use for B2C Choice / finance when scenario is decision-relevant.
sp_8ea72e2357ac,tally_3EdEXq,channel,channel/trust map,channel/trust map: Наличие мобильного приложения,Use for B2C Choice / finance when channel is decision-relevant.
sp_7657b1c6cb38,tally_3EdEXq,awareness,brand funnel,brand funnel: 10. Какие кредитные организации вы знаете?,Use for B2C Choice / finance when awareness is decision-relevant.
sp_50c41119d80e,tally_3EdEXq,trust,QFD,QFD: 14. К какой кредитной организации вы доверяете больше остальных?,Use for B2C Choice / finance when trust is decision-relevant.
sp_77ecf81a75e2,tally_3EdEXq,channel,channel/trust map,"channel/trust map: 21. Подскажите пожалуйста, через какие источники вы узнаете об услугах кредитной",Use for B2C Choice / finance when channel is decision-relevant.
sp_9453f83e407e,tally_3EdEXq,factor,factor hierarchy,factor hierarchy: Какие факторы могли бы сподвигнуть вас отказаться от услуг СКК?,Use for B2C Choice / finance when factor is decision-relevant.
sp_90926164769b,tally_w4jl05,behavior,behavior baseline,behavior baseline: Введите номер анкеты для идентификации,Use for Internal Employee / HR/EVP when behavior is decision-relevant.
sp_555b2d806c53,tally_w4jl05,scenario,JTBD map,JTBD map: 3. С какими проблемами/ситуациями из перечисленных далее Вы сталкивались за посл,Use for Internal Employee / HR/EVP when scenario is decision-relevant.
sp_ce6bdca626c3,tally_w4jl05,WTP,price ladder,price ladder: 5. Сколько вы обычно в среднем тратите на поход в спа/баню и другие оздоровитель,Use for Internal Employee / HR/EVP when WTP is decision-relevant.
sp_c1f2259136cb,tally_w4jl05,scenario,JTBD map,JTBD map: 6. Как вы обычно ищете пути решения указанных выше ситуаций/проблем?,Use for Internal Employee / HR/EVP when scenario is decision-relevant.
sp_5f599482f175,tally_w4jl05,behavior,behavior baseline,"behavior baseline: 7. Как давно Вы посещали центры отдыха и оздоровления, в которых хотя бы одна из",Use for Internal Employee / HR/EVP when behavior is decision-relevant.
sp_cae70ad30d08,tally_w4jl05,behavior,behavior baseline,behavior baseline: 8. С кем вы обычно посещаете центры отдыха и оздоровления?,Use for Internal Employee / HR/EVP when behavior is decision-relevant.
sp_1a812b90efbc,tally_w4jl05,frequency,behavior baseline,"behavior baseline: 10. Как часто вы обычно посещаете центры отдыха и оздоровления (спа, бани, термо",Use for Internal Employee / HR/EVP when frequency is decision-relevant.
sp_3696d0e9bc87,tally_w4jl05,behavior,behavior baseline,behavior baseline: 11. В какой период  вы обычно посещаете или могли бы посещать процедуры и заняти,Use for Internal Employee / HR/EVP when behavior is decision-relevant.
sp_8275a3657177,tally_w4jl05,factor,factor hierarchy,"factor hierarchy: 12. Оцените от 1 до 5 важность факторов выбора центра отдыха и оздоровления, где",Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_e09a966794d7,tally_w4jl05,awareness,brand funnel,brand funnel: 13. Какие места для отдыха и оздоровления вы знаете?,Use for Internal Employee / HR/EVP when awareness is decision-relevant.
sp_a9b9325c13dd,tally_w4jl05,behavior,behavior baseline,"behavior baseline: 14. Назовите места, которые вы уже хотя бы раз посещали, чтобы отдохнуть и восст",Use for Internal Employee / HR/EVP when behavior is decision-relevant.
sp_fb1548a36227,tally_w4jl05,WTP,price ladder,price ladder: 16. Какие из существующих вариантов являются наиболее доступным по стоимости? (П,Use for Internal Employee / HR/EVP when WTP is decision-relevant.
sp_296aed43af2a,tally_w4jl05,channel,channel/trust map,"channel/trust map: 17. Визит, в каком центр отдыха и оздоровления Вы можете описать как самый запом",Use for Internal Employee / HR/EVP when channel is decision-relevant.
sp_2c425180ccf1,tally_w4jl05,scenario,JTBD map,"JTBD map: 23. Скажите, почему никогда не посещали Green Flow? И хотели бы посетить?",Use for Internal Employee / HR/EVP when scenario is decision-relevant.
sp_91aa566b7805,tally_w4jl05,factor,factor hierarchy,factor hierarchy: 24. Оцените от 1 до 5 важность наличия одной из зоны для вас при выборе места дл,Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_baa718bcd3f1,tally_w4jl05,factor,factor hierarchy,factor hierarchy: Возможно для вас есть другие важные зоны? Укажите,Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_e40e2a974314,tally_meaMNl,behavior,behavior baseline,behavior baseline: 1. Посещаете ли Вы IT-Конференции?,Use for Event Conference / event/conference when behavior is decision-relevant.
sp_5a8afe3e3c41,tally_meaMNl,barrier,barrier map,barrier map: 2. Почему вы не посещаете IT-Конференции?,Use for Event Conference / event/conference when barrier is decision-relevant.
sp_37c14c62ffa2,tally_meaMNl,frequency,behavior baseline,behavior baseline: 5. Как часто Вы посещаете мероприятия?,Use for Event Conference / event/conference when frequency is decision-relevant.
sp_3c1a4742bdfe,tally_meaMNl,scenario,JTBD map,JTBD map: 6. Для каких целей Вы посещаете конференции?,Use for Event Conference / event/conference when scenario is decision-relevant.
sp_82e6688ac00b,tally_meaMNl,behavior,behavior baseline,"behavior baseline: 8. Чего вам не хватило на тех конференциях, которые Вы посещали последние 2-3 го",Use for Event Conference / event/conference when behavior is decision-relevant.
sp_2dd8dcd57725,tally_meaMNl,consideration,brand funnel,brand funnel: 9. Какую максимальную цену офлайн+онлайн билета на мероприятие Вы рассматриваете,Use for Event Conference / event/conference when consideration is decision-relevant.
sp_d043b37c02cd,tally_meaMNl,consideration,brand funnel,brand funnel: 10. Какую максимальную цену билета на онлайн-мероприятие Вы рассматриваете для с,Use for Event Conference / event/conference when consideration is decision-relevant.
sp_2958bb5064f3,tally_meaMNl,factor,factor hierarchy,factor hierarchy: 12. Какие факторы для Вас наиболее важны при посещении онлайн мероприятий? (Оцен,Use for Event Conference / event/conference when factor is decision-relevant.
sp_6195cb375589,tally_meaMNl,factor,factor hierarchy,factor hierarchy: 13. Какие факторы для Вас наиболее важны при посещении офлайн мероприятий? (Оцен,Use for Event Conference / event/conference when factor is decision-relevant.
sp_d0c2d11c3460,tally_meaMNl,channel,channel/trust map,channel/trust map: 14. Через какие каналы Вы узнаете о конференции?,Use for Event Conference / event/conference when channel is decision-relevant.
sp_92ec699e40dc,tally_meaMNl,awareness,brand funnel,brand funnel: 15. Каких из нижеперечисленных организаторов конференций Вы знаете?,Use for Event Conference / event/conference when awareness is decision-relevant.
sp_a4f531bc59dc,tally_meaMNl,frequency,behavior baseline,behavior baseline: 18. Мероприятия каких организаторов конференций Вы посещаете регулярно?,Use for Event Conference / event/conference when frequency is decision-relevant.
sp_2e9d704ef993,tally_meaMNl,barrier,barrier map,"barrier map: 19. Мероприятия каких организаторов конференций Вы посещали, но перестали?",Use for Event Conference / event/conference when barrier is decision-relevant.
sp_5e1948b933cc,tally_meaMNl,awareness,brand funnel,brand funnel: 20. Какие из нижеперечисленных конференций Вы знаете?,Use for Event Conference / event/conference when awareness is decision-relevant.
sp_0d59cd0f9ffd,tally_meaMNl,behavior,behavior baseline,behavior baseline: 21. Какие из нижеперечисленных конференции Вы посещали хотя бы раз?,Use for Event Conference / event/conference when behavior is decision-relevant.
sp_94a4004b6810,tally_meaMNl,frequency,behavior baseline,behavior baseline: 23. Какие из нижеперечисленных конференций Вы посещаете регулярно?,Use for Event Conference / event/conference when frequency is decision-relevant.
sp_969056a378ba,tally_meaMNl,barrier,barrier map,"barrier map: 24. Какие из нижеперечисленных конференций Вы посещали, но перестали?",Use for Event Conference / event/conference when barrier is decision-relevant.
sp_88ac179d82fb,tally_meaMNl,barrier,barrier map,"barrier map: 25. Укажите причину, по которой Вы перестали посещать выбранные конференции",Use for Event Conference / event/conference when barrier is decision-relevant.
sp_e67ee146e8eb,tally_3j1bra,behavior,behavior baseline,behavior baseline: 5. Покупаете ли вы обычно губки для дома?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_bc347fa7a055,tally_3j1bra,frequency,behavior baseline,behavior baseline: 6. Как часто покупаете губки?,Use for B2C Choice / home/electronics when frequency is decision-relevant.
sp_3b59558d8ba1,tally_3j1bra,switching,barrier map,barrier map: 7. Что является для вас мотивом замены или покупки губки?,Use for B2C Choice / home/electronics when switching is decision-relevant.
sp_82e0cc5afd2e,tally_3j1bra,WTP,price ladder,price ladder: 8. Сколько упаковок губок обычно покупаете за один раз?,Use for B2C Choice / home/electronics when WTP is decision-relevant.
sp_8912b44ec2b7,tally_3j1bra,scenario,JTBD map,"JTBD map: 10. Когда вы покупаете губки, вы обращаете внимание на бренд-производителя?",Use for B2C Choice / home/electronics when scenario is decision-relevant.
sp_09bb57e01cca,tally_3j1bra,awareness,brand funnel,brand funnel: 11. Какие из перечисленных брендов губок вы знаете?,Use for B2C Choice / home/electronics when awareness is decision-relevant.
sp_8a192994cbb8,tally_3j1bra,factor,factor hierarchy,"factor hierarchy: 15. Оцените важность следующих факторов при покупке(1 - не знаю, не думал об это",Use for B2C Choice / home/electronics when factor is decision-relevant.
sp_01d51fd68a69,tally_3j1bra,behavior,behavior baseline,behavior baseline: 18. Какие типы губок вы покупаете чаще всего?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_ca581ccf5563,tally_3j1bra,behavior,behavior baseline,behavior baseline: 20. В каком диапазоне цены вы обычно покупаете упаковку из 2 губок?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_0c22f67ddd24,tally_3j1bra,behavior,behavior baseline,behavior baseline: 21. В каком диапазоне цены вы обычно покупаете упаковку из 3 губок?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_6559d178f035,tally_3j1bra,behavior,behavior baseline,behavior baseline: 22. В каком диапазоне цены вы обычно покупаете упаковку из 5-6 губок?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_2df861fb72a1,tally_3j1bra,behavior,behavior baseline,behavior baseline: 23. В каком диапазоне цены вы обычно покупаете упаковку из 10 губок?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_3006a626abba,tally_3j1bra,channel,channel/trust map,channel/trust map: 24. Где вы чаще всего покупаете губки?,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_3a19d6e30755,tally_3j1bra,behavior,behavior baseline,behavior baseline: 25. В каком супермаркете/гипермаркете вы покупаете губки?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_991091dbdc02,tally_3j1bra,channel,channel/trust map,channel/trust map: 26. В каком интернет-магазине/маркетплейсе вы покупаете губки?,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_18384eefa2f1,tally_3j1bra,channel,channel/trust map,channel/trust map: 27. В каком хоз. магазине вы покупаете губки?,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_9eceb7612e7c,tally_3j1bra,frequency,behavior baseline,behavior baseline: 28. Как часто вы заказываете онлайн губки?,Use for B2C Choice / home/electronics when frequency is decision-relevant.
sp_e99fc4b36eb3,tally_3j1bra,channel,channel/trust map,channel/trust map: 29. Что вам нравится в покупке губок через маркетплейсы?,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_585602232798,tally_3j1bra,channel,channel/trust map,channel/trust map: 30. Что вам не нравится в покупке губок через маркетплейсы?,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_9d147b6b7f9f,tally_mYZDvN,factor,factor hierarchy,"factor hierarchy: 1.8 Пожалуйста, оцените насколько важны для Вас следующие факторы при выборе раб",Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_805627d666bb,tally_mYZDvN,factor,factor hierarchy,"factor hierarchy: 1.9 Пожалуйста, оцените насколько эти факторы реализованы в компании «Альтернати",Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_c7bd9ebc9873,tally_mYZDvN,switching,barrier map,barrier map: 2.1 Насколько Вы согласны с представленными ниже утверждениями об уровне ответст,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_632bbb99e1cc,tally_mYZDvN,switching,barrier map,barrier map: 2.2 Насколько Вы согласны с представленными ниже утверждениями о понимании сотру,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_3f62c572bd8b,tally_mYZDvN,switching,barrier map,barrier map: 2.3  Насколько Вы согласны с представленными ниже утверждениями об уровне коорди,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_0b7356411b50,tally_mYZDvN,switching,barrier map,barrier map: 2.4 Насколько Вы согласны с представленными ниже утверждениями об уровне ориента,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_8a35e072a383,tally_mYZDvN,switching,barrier map,barrier map: 2.5 Насколько Вы согласны с представленными ниже утверждениями о характере руков,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_10b76e7539b6,tally_mYZDvN,switching,barrier map,barrier map: 2.6 Насколько Вы согласны с представленными ниже утверждениями об отношении к ин,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_c5aa52eba792,tally_mYZDvN,switching,barrier map,barrier map: 2.7 Насколько Вы согласны с представленными ниже утверждениями о корпоративных н,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_4659810f0d86,tally_mYZDvN,switching,barrier map,barrier map: 2.8 Насколько Вы согласны с представленными ниже утверждениями о рабочей среде и,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_3a6cf5af0981,tally_mYZDvN,factor,factor hierarchy,factor hierarchy: 2.9 Оцените степень Вашего согласия с представленными ниже утверждениями о систе,Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_56d773bf68f6,tally_mYZDvN,scenario,JTBD map,"JTBD map: 3.1 В компании «Альтернатива» решения принимаются всегда по всем известным, обще",Use for Internal Employee / HR/EVP when scenario is decision-relevant.
sp_871cc77e026a,tally_mYZDvN,switching,barrier map,barrier map: 3.3 В компании «Альтернатива» сотрудники сконцентрированы в работе на здесь и се,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_a5c0d07b4365,tally_mYZDvN,switching,barrier map,barrier map: 3.4 В компании «Альтернатива» принята короткая ИЛИ длинная дистанция между руков,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_87cbbd1df8f7,tally_mYZDvN,switching,barrier map,barrier map: 3.5 Сотрудники компании «Альтернатива» действуют автономно ИЛИ ориентированы на ,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_273499c248f0,tally_mYZDvN,switching,barrier map,barrier map: 3.6 С какими ассоциациями о компании «Альтернатива» как о работодателе Вы сталки,Use for Internal Employee / HR/EVP when switching is decision-relevant.
sp_277f00302d22,tally_mYZDvN,factor,factor hierarchy,"factor hierarchy: 3.7 Пожалуйста, оцените насколько важны для Вас следующие ценности при выборе ра",Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_62ea1af6e625,tally_mYZDvN,factor,factor hierarchy,factor hierarchy: 3.8 Оцените насколько эти ценности проявлены в компании «Альтернатива» представл,Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_218e79af085f,tally_mYZDvN,factor,factor hierarchy,"factor hierarchy: 3. 9 Оцените представленные ниже факторы по шкале от 1 до 5, где:",Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_76446404e0f7,tally_mYZDvN,factor,factor hierarchy,"factor hierarchy: Оцените, пожалуйста, по шкале от 1 до 10, насколько вы готовы рекомендовать нашу",Use for Internal Employee / HR/EVP when factor is decision-relevant.
sp_da8147079aa5,tally_3XDlbe,frequency,behavior baseline,behavior baseline: Как часто покупали лотерейные билеты (Лотерея чиптасини канчалик куп оласиз?),Use for Event Conference / event/conference when frequency is decision-relevant.
sp_80e4a1788dd7,tally_3XDlbe,scenario,JTBD map,JTBD map: Когда в последний раз покупали лотерейные билеты? (Охирги марта качон лотерея уй,Use for Event Conference / event/conference when scenario is decision-relevant.
sp_934638c079dd,tally_3XDlbe,channel,channel/trust map,"channel/trust map: Где вы покупали билет для участия в розыгрыше лотереи? (Лотереяда катнашиш учун,",Use for Event Conference / event/conference when channel is decision-relevant.
sp_085a5f215c12,tally_3XDlbe,WTP,price ladder,"price ladder: На что вы потратили выигрыш в лотереи? (Лотерея ютсез, нимага ишлатган булардиз?",Use for Event Conference / event/conference when WTP is decision-relevant.
sp_10e4eb309b1a,tally_3XDlbe,WTP,price ladder,price ladder: Сколько процентов от зарплаты вы готовы тратить на покупку лотерейных билетов в ,Use for Event Conference / event/conference when WTP is decision-relevant.
sp_f741e5f1c860,tally_3XDlbe,barrier,barrier map,"barrier map: Какая сумма выигрыша заставила бы вас отказаться от лотереи? (Канча пул ютсез, л",Use for Event Conference / event/conference when barrier is decision-relevant.
sp_5b76e5209f18,tally_3XDlbe,awareness,brand funnel,"brand funnel: Подскажите, какие лотереи вы знаете? (кайси лотереяларни сиз биласиз)",Use for Event Conference / event/conference when awareness is decision-relevant.
sp_2f6ba8537be9,tally_3XDlbe,trust,QFD,QFD: Каким источникам информации вы доверяете? (сиз малумот олишенгиз учун кайси манб,Use for Event Conference / event/conference when trust is decision-relevant.
sp_5590840805a5,tally_3XDlbe,factor,factor hierarchy,"factor hierarchy: Оцените от 1 до 5 важность факторов выбора лотереи, где 1 – это не значимый факт",Use for Event Conference / event/conference when factor is decision-relevant.
sp_e4d02c1512ba,tally_3XDlbe,factor,factor hierarchy,"factor hierarchy: Важна ли вам анонимность при покупки билетов? (Билет олайотганингизда, шахсингиз",Use for Event Conference / event/conference when factor is decision-relevant.
sp_8b039d87fe8c,tally_3XDlbe,factor,factor hierarchy,factor hierarchy: Важно ли для вас наличие физического билета? (Сизга когоз лотерея булиши мухимми,Use for Event Conference / event/conference when factor is decision-relevant.
sp_e2262b590b96,tally_3XDlbe,behavior,behavior baseline,behavior baseline: Как вам удобнее покупать лотерейные билеты? (Лотерея чиптасини олиш кандай кулай,Use for Event Conference / event/conference when behavior is decision-relevant.
sp_11019d8a9851,tally_3XDlbe,WTP,price ladder,price ladder: Какую сумму единоразового выигрыша вы хотели бы? (Бир марталик ютукни канча яхши,Use for Event Conference / event/conference when WTP is decision-relevant.
sp_ee37156d84fb,tally_3XDlbe,WTP,price ladder,"price ladder: Сколько попыток вы готовы сделать для выигрыша джекпота? (Джекпот чикиши учун, н",Use for Event Conference / event/conference when WTP is decision-relevant.
sp_6315276944a2,tally_3XDlbe,WTP,price ladder,"price ladder: Сколько билетов готовы купить за один раз? (Бир мартада, нечта лотерея чиптасини",Use for Event Conference / event/conference when WTP is decision-relevant.
sp_d93d37f0feec,tally_3XDlbe,WTP,price ladder,price ladder: Сколько готовы заплатить за один лотерейный билет? (Лотерея чиптасига канча пул ,Use for Event Conference / event/conference when WTP is decision-relevant.
sp_83564df8f11c,tally_3XDlbe,WTP,price ladder,"price ladder: Как вы думаете, на сколько игра в лотерею противоречит религиозным убеждениям? (",Use for Event Conference / event/conference when WTP is decision-relevant.
sp_ab067bc35de0,tally_3XDlbe,behavior,behavior baseline,"behavior baseline: Будете ли вы покупать лотерейные билеты, если часть денег будет уходить в благот",Use for Event Conference / event/conference when behavior is decision-relevant.
sp_767aadd5f73b,tally_3XDlbe,barrier,barrier map,barrier map: Какая сумма выигрыша заставила бы вас отказаться от альтернативных способов зара,Use for Event Conference / event/conference when barrier is decision-relevant.
sp_d51005c57df1,tally_3XDlbe,WTP,price ladder,"price ladder: На что потратили бы выигрыш? (Лотерея ютсез, нимага ишлатган булардиз?)",Use for Event Conference / event/conference when WTP is decision-relevant.
sp_606cba6de506,tally_nP6Jkx,WTP,price ladder,"price ladder: Укажите, пожалуйста, источник личных трат",Use for B2C Choice / finance when WTP is decision-relevant.
sp_c54b74360e46,tally_nP6Jkx,channel,channel/trust map,channel/trust map: У каких банков лучшее мобильное приложение по функционалу и удобству интерфейса?,Use for B2C Choice / finance when channel is decision-relevant.
sp_e6acbb7fc1b6,tally_nP6Jkx,scenario,JTBD map,JTBD map: Когда перед вами стоит задача сделать перевод вы скорее,Use for B2C Choice / finance when scenario is decision-relevant.
sp_b97c0756cde3,tally_nP6Jkx,channel,channel/trust map,"channel/trust map: Готовы ли вы сменить банк, ради возможности делать валютные переводы через прило",Use for B2C Choice / finance when channel is decision-relevant.
sp_6d29fc1488eb,tally_nP6Jkx,WTP,price ladder,price ladder: Сколько у вас кредитных карт?,Use for B2C Choice / finance when WTP is decision-relevant.
sp_8193697eb97a,tally_nP6Jkx,WTP,price ladder,"price ladder: Между тем, чтобы открыть кредитную карту в банке (не потребительский кредит, а и",Use for B2C Choice / finance when WTP is decision-relevant.
sp_2c1bd9a168e6,tally_nP6Jkx,scenario,JTBD map,JTBD map: Для каких задач вы брали займ в МФО (микрокредитной организации)?,Use for B2C Choice / finance when scenario is decision-relevant.
