item_id,survey_id,category,factor_or_cluster,jtbd_hypothesis,evidence,confidence,reuse_scope
fj_66b8a71e90b1,tally_w2MeOg,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_eb64f32e675d,tally_w2MeOg,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_98da1f3641a3,tally_w2MeOg,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_1a7bebbd21c4,tally_wveKg8,loyalty,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_f0b96dad0450,tally_nPzgVe,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_35d9acb73e27,tally_nPzgVe,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_23d78b902b58,tally_lbBK7W,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_fd2ec21dd9c0,tally_lbBK7W,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_43718e02bb9d,tally_lbBK7W,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_63844c70b302,tally_nG9bOz,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_49fc0f207396,tally_nG9bOz,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Internal Employee
fj_1d12b4fdf6fe,tally_mO0odR,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_5f18bab9d075,tally_mO0odR,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_2f6fd19a7d92,tally_mJzgbo,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_d2834676256b,tally_mDkWEq,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_9850e930dd89,tally_mDkWEq,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_fec586f8b71a,tally_mDkWEq,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_579608418f33,tally_w7DzMR,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_94702cdb0ffe,tally_w7DzMR,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_5a551beef883,tally_wQAZpG,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_1cbe03209a5e,tally_wQAZpG,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_85700e71bad0,tally_w4KYOk,loyalty,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_b467bb657f1f,tally_woREgN,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_b53ac66cf6f4,tally_woREgN,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_525a2b46dd51,tally_woREgN,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_12250dec414c,tally_meaGo0,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_744051efcd7e,tally_meaGo0,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_d991c09a6734,tally_w2a66e,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_784565a97af1,tally_w2a66e,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_f02e92ffc501,tally_w2a66e,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_0dab65f3a4b4,tally_wkExVM,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_e52fe2aed1ef,tally_3NlZZ0,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_caab1644d796,tally_3NlZZ0,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_d512388ba150,tally_3NlZZ0,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_f7314785da14,tally_wQeQQY,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_1533a10b5500,tally_wQeQQY,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_64eb80c02db7,tally_wQeQQY,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_7fd09258293c,tally_31dDqg,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_c0eab83ffad7,tally_31dDqg,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_673f1dc22622,tally_31dDqg,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_166602bd4807,tally_nWvWrQ,construction/materials,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2B2C
fj_1f7cbeeeb6ac,tally_m6d4Qk,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_66bb47698783,tally_m6d4Qk,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_89c03e716e86,tally_mJOVB7,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_8635a3890b71,tally_mJOVB7,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_91630cea43dc,tally_nGNppz,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_6af9154706db,tally_nGNppz,auto/mobility,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_94bd4cb718bc,tally_wkRWzd,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_d9eb01b3c14f,tally_wkRWzd,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_0f68ad06e769,tally_wkRWzd,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_333c969a2f8b,tally_mYGqV5,loyalty,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_e01c8558ad6d,tally_n9lko4,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_56b169cbb934,tally_n9lko4,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_35e783ccde13,tally_3jlB04,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_ec5e9140f358,tally_3jlB04,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_f3f73c06a582,tally_3jlB04,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_e733578c6831,tally_nP2XDV,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_c20af0d0b57d,tally_nP2XDV,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_a5e56cbaa778,tally_nP2XDV,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_b1486869adbe,tally_mV5Kd6,fitness/wellness,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_e993bd1f96ad,tally_mV5Kd6,fitness/wellness,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_583dd973a60d,tally_mV5Kd6,fitness/wellness,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_75bc2c49ec99,tally_3ENl5X,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_7428bfa47345,tally_3ENl5X,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_113d811cb57c,tally_0QEjbP,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_7a30e230cf6f,tally_0QEjbP,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_6c4e760d75bf,tally_mVza4g,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_c6213ef3525d,tally_mVza4g,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_690591d79b9f,tally_nW0P8P,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_1a7f2fb91dde,tally_nW0P8P,home/electronics,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_c5539d6df729,tally_3yd4MB,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_1e49ffd62b5f,tally_3yd4MB,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_b855a1c13fbf,tally_wQ0ZOk,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_aad36a2f0586,tally_wQ0ZOk,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_3b8729a924a2,tally_wbWM6L,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_321fdac546bd,tally_wbWM6L,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_110d96ec245c,tally_mKL0gX,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_3b9c9e3aaac3,tally_3y4KB6,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_6901e8e66e3c,tally_3y4KB6,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_814aea6a269c,tally_wQ5W2Y,fitness/wellness,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_95df6d293689,tally_wQ5W2Y,fitness/wellness,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_c7388cacf925,tally_wQ5W2Y,fitness/wellness,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_fe3e16d97658,tally_wgGpyK,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_27380a67eb56,tally_w4N6dB,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_81867a2a1fb8,tally_3yYaQB,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_67b16fcd2629,tally_3yYaQB,event/conference,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Event Conference
fj_396124013f47,tally_3yYaQB,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_dfaedf888a21,tally_kdNXoM,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_722c34d80c08,tally_kdNXoM,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_bfcd0f282c4d,tally_kdNXoM,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_52fead6765da,tally_meagPx,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_b85531e56290,tally_meagPx,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_c728bf3c4331,tally_3xQAzv,education,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_5f500d44dc35,tally_3xQAzv,education,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_bd8413a7955e,tally_3xQAzv,education,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_14e662f9a70a,tally_Y5jV7N,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_7790fac666c2,tally_Y5jV7N,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_9a7ec15c2d93,tally_Y5jV7N,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_751f6a3b4c73,tally_woMYJO,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_e651f34e67ed,tally_n0epJ0,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_5a4074243c2b,tally_n0epJ0,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_6c8b98f622fb,tally_mKaxzA,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_9b5edaeb95ec,tally_mKaxzA,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_9f48a2d104d0,tally_3xaZ9G,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_1f76c2167d86,tally_3xaZ9G,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_b775c8c40680,tally_wvANe4,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_e659b096c7e3,tally_mRZVav,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_69604f56d742,tally_mRZVav,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_a1634be9070a,tally_mRZVav,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_a83342863b5d,tally_w4xjPb,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_410bfd4b1a8b,tally_w4xjPb,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_5fd03b607faf,tally_3XX5yY,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_2e04cbeab142,tally_3XX5yY,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_537d562624d0,tally_nW8rgv,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_ac748a3386b5,tally_nW8rgv,home/electronics,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_d355af4c22ca,tally_3E0NJB,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_cb6c287ef18f,tally_3E0NJB,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_39915f029ba6,tally_w7Z6L0,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_8f70fb4c21d5,tally_mZEBBV,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_f1669b4ef185,tally_mZEBBV,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_14b9c3c4f31b,tally_mZEBBV,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_1fa45b928e63,tally_wMr1qY,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_e595721cafac,tally_wMr1qY,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_5c419e27f21b,tally_wMr1qY,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_74494930dc51,tally_nP9Zrb,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_83798972a5ac,tally_nP9Zrb,event/conference,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Event Conference
fj_bbe09db0cb97,tally_3xYE7y,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_06c4516cd500,tally_3xYE7y,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_2a1ea124c827,tally_3qPrkk,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_a66d366cb8a3,tally_3qPrkk,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_de42b5aa00b8,tally_woRNPx,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_07a2961ded03,tally_wz1Mq8,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_69c02ef3b571,tally_wz1Mq8,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_53989f51a221,tally_wQevPY,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_eded0fd7e4d4,tally_wQevPY,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_c30cec4abf66,tally_wQevPY,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_11f1133fa67c,tally_woK8BO,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_a3dc7dca6efe,tally_woK8BO,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_d1100ef30899,tally_woK8BO,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Internal Employee
fj_fce09c31f549,tally_wQz4O8,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_2bde7529e86e,tally_wbkYL0,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_3fc4b3f543e6,tally_OD1lpY,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_6ce6bddd2e63,tally_OD1lpY,home/electronics,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_c2b6f33b5fdc,tally_meEbOE,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_894e31863fa1,tally_meEbOE,home/electronics,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_3bb76ebf021f,tally_wa5jO2,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_32f43bf4caf3,tally_wa5jO2,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_d0e29531d0b9,tally_wa5jO2,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_368c9e8a594e,tally_mO02bp,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_3ddf59220bcf,tally_mO02bp,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_def91a870d4d,tally_Gx6XJo,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_f8ace4e38d81,tally_Gx6XJo,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_7d0ac506c748,tally_Gx6XJo,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_0a41bb0e8dc2,tally_np0yq1,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_06a7b5b82ae1,tally_np0yq1,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_c5cfa11743b5,tally_mJWlq4,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_62588917fe30,tally_mJWlq4,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_6d51695f1893,tally_3xeqkr,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_072fe3403e8a,tally_3xeqkr,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_b11bcd2fca41,tally_mBxlA1,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_a0e1f7544ddb,tally_mBxlA1,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
